"avgvelocity_x","avgvelocity_y","avgvelocity_z","gesture"
"133.66841","0.73906547","-22.036703","f"
"102.46427","2.8889244","11.721756","f"
"65.661415","5.2880664","-26.609583","f"
"-65.16037","9.623368","-124.223755","f"
"-208.70622","-29.29592","-79.266594","f"
"-235.29187","-53.5267","38.87176","f"
"-225.1754","-54.153355","201.1689","f"
"39.97781","-33.02235","81.86857","f"
"254.92552","33.55685","17.615767","f"
"271.82098","65.18903","-24.303604","f"
"179.09746","-21.272192","-19.046982","f"
"-13.6163225","-66.2601","97.72056","f"
"-97.08242","-36.065605","42.39384","f"
"-193.87657","-3.3126876","16.94283","f"
"-233.4399","8.067983","-32.73482","f"
"-90.93787","61.059082","-64.2414","f"
"7.4114623","-5.4303546","-38.727062","f"
"-24.504622","-1.523818","-10.895278","f"
"-143.64546","-10.730184","-18.198225","f"
"-94.406715","-0.6327531","-93.91856","f"
"0.7582655","-11.418647","-49.93799","f"
"5.8054023","-26.313349","83.6408","f"
"11.201962","-60.98756","162.03587","f"
"83.252266","-15.333832","121.32699","f"
"149.81142","25.242277","39.313023","f"
"177.92987","16.212261","3.3013294","f"
"166.95045","62.592865","-40.545406","f"
"132.5413","52.288525","-95.61011","f"
"25.33612","42.643246","-129.45905","f"
"-78.735054","21.092216","-100.75064","f"
"-156.92522","-6.61723","-56.42331","f"
"-187.72664","-33.302105","6.806393","f"
"-50.4724","29.601496","-80.68206","f"
"90.62631","45.569828","-65.97592","f"
"130.50923","26.49248","54.46745","f"
"167.42781","20.128447","90.91093","f"
"136.05888","-7.237982","110.29589","f"
"78.76766","-65.21642","97.51316","f"
"-3.879668","-52.418945","115.83878","f"
"-70.22443","-66.99282","82.86014","f"
"-120.62087","-78.57726","61.49655","f"
